
State Machine - |FinalProject|controlpath:control|presentstate
Name presentstate.lose_screen presentstate.win_screen presentstate.idle presentstate.done_va presentstate.re_draw_pikachu_va presentstate.idle_va_2 presentstate.draw_meowth_va presentstate.idle_va_1 presentstate.draw_hurt_meowth_va presentstate.p_vt presentstate.erase_pikachu_va presentstate.idle_p_va presentstate.draw_pikachu_va presentstate.idle_tb_4 presentstate.re_draw_pikachu_tb presentstate.erase_tb presentstate.idle_tb_3 presentstate.draw_tb_3 presentstate.idle_tb_2 presentstate.draw_tb_2 presentstate.idle_tb_1 presentstate.draw_tb_1 presentstate.idle_tb_0 presentstate.draw_pikachu_tb presentstate.decrement_HP_pos_m presentstate.erase_HP_pikachu presentstate.update_HP_m presentstate.calculate_dmg_m presentstate.m_qa presentstate.erase_meowth_qa presentstate.idle_m_qa presentstate.draw_meowth_qa presentstate.battle_idle presentstate.decrement_HP_pos presentstate.erase_HP_meowth presentstate.update_HP presentstate.calculate_dmg presentstate.p_qa presentstate.erase_pikachu_qa presentstate.idle_p_qa presentstate.draw_pikachu_qa presentstate.draw_team presentstate.draw_meowth presentstate.draw_menu presentstate.draw_trainer presentstate.draw_team_rocket presentstate.draw_hp_pikachu presentstate.draw_hp_meowth presentstate.draw_pikachu presentstate.white_out presentstate.draw_title presentstate.reset_state 
presentstate.reset_state 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
presentstate.draw_title 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 
presentstate.white_out 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 
presentstate.draw_pikachu 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 
presentstate.draw_hp_meowth 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 
presentstate.draw_hp_pikachu 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
presentstate.draw_team_rocket 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 
presentstate.draw_trainer 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 
presentstate.draw_menu 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 
presentstate.draw_meowth 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 
